data_dictionary_category;data_item;frequency;publication_time;unit_of_measure;created_by;last_updated_by;new_existing_renamed
Shrinkage;Shrinkage Quantity, LDZ, Forecast (NW);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (NW);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (NW);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SC);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SC);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SC);Daily;10:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SC);Daily;16:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SC);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SE);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SE);Daily;16:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SE);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SE);Daily;10:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SE);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SO);Daily;10:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SO);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SO);Daily;16:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SO);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SO);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SW);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SW);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SW);Daily;10:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
